Username,Date,Tweet Content
VK,2024-09-23T09:11:42.000Z,"น่า Rug มั้ยไม่รู้ แต่รอให้ Rug อยู่นะรู้มั้ย...

#หมูเด้ง #MOODENG #มีม #คริปโต

DYOR นะจ๊ะ แต่ชั้นขอบายจ้าาาา
https://dexscreener.com/solana/22wrmytj8x2trvqen3fxxi2r4rn6jdhwomtpssmn8rud…"
Otis,2024-09-10T19:02:01.000Z,"$MOODENG

Ca: ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY

 Gamble, High Risk

Mc: 67K

Fast Buy: https://t.me/MetaSolanaBot?start=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY-oFSDi52t…

:https://dexscreener.com/solana/22wrmytj8x2trvqen3fxxi2r4rn6jdhwomtpssmn8rud…

 https://t.me/+hCTQLf149JNlZjgx…

Channel Call: https://t.me/DegenSignalsCalls… https://pic.x.com/w4mhcov6bg"
unordi789,2024-09-17T17:57:23.000Z,"น้องหมูเด้งมี coin ให้เก็บแล้วนะครับ ดังจนมีคนเอาไปทำ coin ซะแล้ว เพิ่งเข้าตลาดเมื่อวันที่ 10 ก.ย. 2524 ราคาทำ High ทุกวัน 

https://coinmarketcap.com/dexscan/solana/22WrmyTj8x2TRVQen3fxxi2r4Rn6JDHWoMTpsSmn8RUd/?_trms=3d2a28a3280a8fc5.1726562807409&fbclid=IwY2xjawFWJoJleHRuA2FlbQIxMQABHZmCmxunlVEJyhtujdbOCjKVfW5Z7vUkCst4_IhBKS610VeunR2uBrHIYQ_aem__0Z373s6IKWhZWiun6LRjA#Community…"
Thejuzo,2024-09-25T23:35:07.000Z,"Is moodeng next mooner? #moodeng 

https://dextools.io/app/en/solana/pair-explorer/22WrmyTj8x2TRVQen3fxxi2r4Rn6JDHWoMTpsSmn8RUd?t=1727307173875…

#solana $solana"
VaultBoy,2024-09-11T18:25:31.000Z,"#Moo Deng  10x  73.9k MC 754.7k MC  V3 SOL 
Chart: https://dextools.io/app/en/solana/pair-explorer/ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
Snipe:
TROJAN https://t.me/diomedes_trojanbot?start=r-blackhatshiller-ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
PHOTON https://photon-sol.tinyastro.io/en/r/@blackhat/ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
BULLX https://bullx.io/terminal?chainId=1399811149&address=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY&r=blackhatshiller…
MAESTRO https://t.me/MaestroSniperBot?start=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY-blackhatshiller…
BANANA https://t.me/BananaGunSolana_bot?start=snp_blackhat_ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
#DYOR"
Cecil,2024-09-25T18:58:41.000Z,"$MOODENG a famous hippo which has gone viral on tik tok just hit 100mill within 15days. 

This is on solana blockchain meme and community power cannot be ignored.

https://dexscreener.com/solana/22wrmytj8x2trvqen3fxxi2r4rn6jdhwomtpssmn8rud…

#DEFI #CRYPTO #SOL #MOODENG"
Theherbalist,2024-09-26T15:30:40.000Z,"don't mis this  #MEMECOİN 
#Moodeng
dyor in link below... gonna blow u away..."
Catherine Livinus,2024-09-25T04:03:39.000Z," New Buy Signal:  $MOODENG 
 Project Name: Moo Deng  
@MooDengSOL

 Ticker: $MOODENG
 About: just a viral lil hippo
Dexscreener - https://dexscreener.com/solana/22wrmytj8x2trvqen3fxxi2r4rn6jdhwomtpssmn8rud…

 Stay Updated Join Tg : 
https://t.me/solmillionairgroup…
https://t.me/solmillionair"
Blackhat ™,2024-09-17T16:38:58.000Z,"#Moo Deng  187x  73.9k MC 13.8m MC  V3 SOL 
Chart: https://dextools.io/app/en/solana/pair-explorer/ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
Snipe:
TROJAN https://t.me/diomedes_trojanbot?start=r-blackhatshiller-ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
PHOTON https://photon-sol.tinyastro.io/en/r/@blackhat/ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
BULLX https://bullx.io/terminal?chainId=1399811149&address=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY&r=blackhatshiller…
MAESTRO https://t.me/MaestroSniperBot?start=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY-blackhatshiller…
BANANA https://t.me/BananaGunSolana_bot?start=snp_blackhat_ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
#DYOR  #ETH #TRX …"
Mos DCA ⛋ ⋈,2024-09-27T06:30:38.000Z,Is it just me or MOODENG is an easy 5x from here?
Blackhat ™,2024-09-17T16:16:31.000Z,"#Moo Deng  186x  73.9k MC 13.8m MC  V3 SOL 
Chart: https://dextools.io/app/en/solana/pair-explorer/ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
Snipe:
TROJAN https://t.me/diomedes_trojanbot?start=r-blackhatshiller-ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
PHOTON https://photon-sol.tinyastro.io/en/r/@blackhat/ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
BULLX https://bullx.io/terminal?chainId=1399811149&address=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY&r=blackhatshiller…
MAESTRO https://t.me/MaestroSniperBot?start=ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY-blackhatshiller…
BANANA https://t.me/BananaGunSolana_bot?start=snp_blackhat_ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY…
#DYOR  #ETH #TRX …"
